subject_id,filename,malicious,gold_std,Invalid_Domain_Sender_Ratio,Potential_Malicious_Links_Ratio,Poor_Spelling_or_Grammar_Ratio,Appeal_to_Greed_Ratio,Appeal_to_Urgency_Ratio,Appeal_to_Authority_Ratio,Other_Phishy_Findings_Ratio,Total_People
43857060,Box.png,True,True,37.50%,6.25%,6.25%,0.00%,50.00%,6.25%,0.00%,16
43857061,craigslist.png,True,True,14.29%,0.00%,21.43%,0.00%,0.00%,0.00%,7.14%,14
43857063,Discover.png,True,True,31.25%,18.75%,6.25%,0.00%,6.25%,6.25%,31.25%,16
43857064,Dropbox.png,True,True,43.75%,37.50%,37.50%,6.25%,43.75%,0.00%,6.25%,16
43857066,ebay.png,True,True,50.00%,21.43%,64.29%,0.00%,0.00%,0.00%,28.57%,14
43857067,EmmailFialure.png,False,True,11.76%,64.71%,29.41%,0.00%,0.00%,41.18%,5.88%,17
43857069,fedex.png,True,True,73.33%,53.33%,66.67%,6.67%,73.33%,0.00%,13.33%,15
43857071,Firmoo.png,False,True,6.67%,20.00%,6.67%,6.67%,33.33%,0.00%,13.33%,15
43857072,gmail.png,False,True,13.33%,66.67%,26.67%,0.00%,0.00%,0.00%,20.00%,15
43857074,IRS.png,True,True,73.33%,66.67%,6.67%,6.67%,13.33%,40.00%,26.67%,15
43857077,Newsweek.png,False,True,6.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15
43857079,Paypal.png,True,True,66.67%,13.33%,6.67%,0.00%,0.00%,0.00%,20.00%,15
43857080,Snapchat.png,False,True,0.00%,12.50%,0.00%,0.00%,0.00%,0.00%,12.50%,16
43857081,Sprint.png,True,True,64.71%,41.18%,5.88%,47.06%,23.53%,0.00%,23.53%,17
43857083,SprintBill.png,False,True,14.29%,21.43%,0.00%,0.00%,7.14%,0.00%,35.71%,14
43857084,subject-303.png,False,True,6.67%,26.67%,0.00%,0.00%,13.33%,0.00%,6.67%,15
43857086,TaxInformationEmail.png,True,True,0.00%,47.06%,5.88%,0.00%,0.00%,0.00%,11.76%,17
43857087,TheWallStreetJournal.png,True,True,53.33%,13.33%,46.67%,0.00%,0.00%,0.00%,0.00%,15
43857089,Tumblr.png,True,True,73.33%,40.00%,0.00%,0.00%,73.33%,13.33%,13.33%,15
43857090,Twitter.png,False,True,6.67%,0.00%,6.67%,0.00%,0.00%,0.00%,13.33%,15
43857092,UPRailRoad.png,False,True,31.25%,50.00%,6.25%,0.00%,0.00%,6.25%,12.50%,16
43857093,UPS.png,False,True,5.88%,11.76%,7.84%,3.92%,9.80%,3.92%,11.76%,51
43857095,USPS.png,True,True,52.08%,41.67%,27.08%,4.17%,41.67%,2.08%,12.50%,48
43857096,USPSGmail.png,True,True,32.08%,41.51%,7.55%,0.00%,39.62%,7.55%,13.21%,53
43857098,Vanguard.png,False,True,5.88%,19.61%,9.80%,0.00%,9.80%,13.73%,13.73%,51
43857100,venmo.png,False,True,0.00%,0.00%,1.85%,0.00%,0.00%,0.00%,5.56%,54
43857101,VenmoUber.png,False,True,4.00%,2.00%,2.00%,2.00%,0.00%,0.00%,4.00%,50
43857103,VirusSpyware.png,True,True,26.53%,12.24%,2.04%,0.00%,4.08%,6.12%,14.29%,49
43857104,whatsup.png,True,True,31.58%,7.02%,40.35%,3.51%,0.00%,1.75%,8.77%,57
43857918,BoA2(1).jpg,True,True,6.67%,0.00%,4.44%,0.00%,0.00%,0.00%,4.44%,45
43861756,GoogleDoc.jpg,True,True,42.86%,30.36%,44.64%,0.00%,42.86%,12.50%,8.93%,56
