n,Invalid_Domain_or_Sender,Potent_Mal_Links,Spelling_or_Grammar,Appeal_to_Greed,Appeal_to_Urgency,Appeal_to_Authority,Other_Phishy_Findings
1,0.26251097453906935,0.01755926251097454,0.2923617208077261,0.199297629499561,0.12554872695346794,0.13169446883230904,0.52414398595259
2,0.12203687445127305,0.010535557506584723,0.10535557506584724,0.07287093942054433,0.030728709394205442,0.02633889376646181,0.2704126426690079
3,0.06584723441615452,0.007901668129938543,0.046532045654082525,0.03424056189640035,0.010535557506584723,0.00877963125548727,0.1273046532045654
4,0.04214223002633889,0.0052677787532923615,0.028094820017559263,0.013169446883230905,0.0052677787532923615,0.004389815627743635,0.06057945566286216
5,0.028094820017559263,0.004389815627743635,0.02019315188762072,0.006145741878841089,0.003511852502194908,0.003511852502194908,0.03687445127304653
6,0.02019315188762072,0.004389815627743635,0.0052677787532923615,0.0026338893766461808,0.0,0.0026338893766461808,0.018437225636523266
7,0.01141352063213345,0.003511852502194908,0.003511852502194908,0.0026338893766461808,0.0,0.001755926251097454,0.007023705004389816
8,0.006145741878841089,0.003511852502194908,0.001755926251097454,0.0,0.0,0.0,0.003511852502194908
9,0.003511852502194908,0.0026338893766461808,0.000877963125548727,0.0,0.0,0.0,0.001755926251097454
10,0.001755926251097454,0.0026338893766461808,0.0,0.0,0.0,0.0,0.0
11,0.000877963125548727,0.000877963125548727,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
